任务ID,模块,任务名称,任务描述,负责人,工时(天),开始周,结束周,依赖任务,交付物,风险等级
M3-6,移动端开发,个人中心API对接,用户信息获取/更新,移动端工程师,1,4,4,B3;M3-5,个人中心功能,低
M4-1,移动端开发,路线列表页面UI,列表卡片、筛选器、搜索框,移动端工程师,2,4,4,M2,列表页面,中
M4-2,移动端开发,路线列表API对接,列表数据获取、分页、筛选,移动端工程师,2,4,5,B4;M4-1,列表功能,中
M5-1,移动端开发,路线详情页面UI,头图、基础信息、简介、轨迹预览,移动端工程师,2,5,5,M2,详情页面,中
M5-2,移动端开发,路线详情API对接,详情数据获取、POI列表,移动端工程师,2,5,5,B4;M5-1,详情功能,中
M6-1,移动端开发,地图SDK集成,高德/Mapbox SDK集成、地图显示,移动端工程师,2,5,5,B6;M2,地图显示,高
M6-2,移动端开发,定位功能,GPS定位、权限处理、定位显示,移动端工程师,2,5,6,M6-1,定位功能,高
M6-3,移动端开发,地图交互,缩放/拖动/标记点/轨迹线,移动端工程师,1,6,6,M6-2,地图交互,中
M7-1,移动端开发,离线包下载,离线地图包下载、进度显示、断点续传,移动端工程师,2,6,6,B5;M6-3,下载功能,高
M7-2,移动端开发,离线包管理,已下载列表、删除、存储统计,移动端工程师,2,6,6,M7-1,管理功能,中
M7-3,移动端开发,离线地图显示,无网络时显示本地离线地图,移动端工程师,1,6,6,M7-2,离线显示,高
M8-1,移动端开发,轨迹显示,在地图上显示路线轨迹线,移动端工程师,1,6,6,M6-3;M5-2,轨迹显示,中
M8-2,移动端开发,实时定位,导航页面、当前位置标记,移动端工程师,2,6,7,M6-2;M8-1,实时定位,高
M9-1,移动端开发,轨迹跟随算法,GPS点匹配到轨迹、进度计算,移动端工程师,2,7,7,M8-2,轨迹跟随,高
M9-2,移动端开发,偏航检测,偏离路线检测、提醒,移动端工程师,2,7,7,M9-1,偏航提醒,高
M9-3,移动端开发,进度显示,已走距离/剩余距离/海拔/预计时间,移动端工程师,1,7,7,M9-1,进度显示,中
M10-1,移动端开发,功能联调,模块间联调、数据流打通,移动端工程师,2,7,7,M3;M4;M5;M7;M9,联调版本,高
M10-2,移动端开发,Bug修复,测试Bug修复、性能优化,移动端工程师,2,7,8,M10-1,修复版本,中
D1,数据准备,路线筛选清单,调研确定50条候选路线清单,运营,3,1,1,,路线清单,低
D2-1,数据准备,杭州路线踩线-1,九溪/十里琅珰/径山等5条路线实地采集,运营,5,2,3,D1,5条路线数据,中
D2-2,数据准备,杭州路线踩线-2,云栖/满觉陇/茅家埠等5条路线实地采集,运营,5,2,3,D1,5条路线数据,中
D2-3,数据准备,杭州路线踩线-3,西溪/良渚/湘湖等5条路线实地采集,运营,5,3,4,D1,5条路线数据,中
D3-1,数据准备,上海路线踩线,佘山/崇明/淀山湖等10条路线,运营,7,3,4,D1,10条路线数据,中
D3-2,数据准备,北京路线踩线,香山/西山/八达岭等10条路线,运营,7,4,5,D1,10条路线数据,中
D3-3,数据准备,成都路线踩线,青城山/都江堰/龙泉山等10条路线,运营,7,4,5,D1,10条路线数据,中
D3-4,数据准备,深圳路线踩线,梧桐山/马峦山/东西冲等5条路线,运营,5,5,5,D1,5条路线数据,中
D4-1,数据准备,数据整理,轨迹处理/POI标注/照片筛选,运营,3,5,6,D2;D3,原始数据包,中
D4-2,数据准备,文案撰写,路线描述/亮点/注意事项撰写,运营,2,5,6,D4-1,文案内容,中
D4-3,数据准备,数据审核,信息准确性/完整性审核,运营,2,6,6,D4-2,审核报告,低
D4-4,数据准备,数据入库,导入数据库/图片上传OSS,运营,1,6,6,D4-3;B4,入库完成,低
T1-1,测试上线,功能测试,全功能测试用例执行,全员,3,7,7,M10;B8,测试报告,中
T1-2,测试上线,性能测试,地图加载/定位响应/电量消耗测试,全员,2,7,7,M10,性能报告,中
T2,测试上线,内测邀请,种子用户招募/邀请码发放/反馈收集,运营,3,7,8,T1,内测用户群,低
T3-1,测试上线,应用商店材料,应用截图/描述/关键词/隐私政策,PM,2,7,8,T1,商店材料,低
T3-2,测试上线,上线准备,证书/签名/审核提交,移动端工程师,2,8,8,T3-1,提交审核,低
